track_id,gt1l,gt1r,gt2l,gt2r,gt3l,gt3r
1257,,,330.7,259.9,,9247.5
1265,4243.8,4153.7,2743.6,2748.6,2587.4,2578.1
1287,144.2,74.8,209.9,208.4,,
1295,3613.7,3476.0,4631.8,4575.2,613.8,581.3
1303,,,72.1,45.9,26.5,88.3
1311,68.6,72.6,111.7,49.5,60.8,55.8
1318,417.5,473.3,470.7,495.1,508.6,574.2
1326,,,615.0,605.4,612.6,615.9
1341,,,251.1,260.2,258.2,252.6
1348,353.1,375.5,434.1,462.4,78.8,353.6
1356,80.8,157.8,30.1,17.0,63.6,65.6
1364,112.1,42.6,,,,
1372,279.4,300.8,31.6,40.7,251.7,242.5
1379,239.6,233.6,351.5,311.6,246.6,222.4
1387,84.7,78.4,22.4,24.2,90.1,54.0
