track_id,gt_family,cluster_id,side,center_lat,center_lon,n_beams,NSM,SCE,EPR,LRR,LR2,LSE,LCI,TemporalSpan_days,ClusterTemporalSpanYears,ValidRegression,U_position_m,U_NSM_m,U_EPR_myr,first_date,last_date,initial_cycles,used_cycles
1181,gt1,L,L,70.27646204511862,-161.1845867766061,7,92.0,269.0,18.41,-2.32,0.0,91.67,55.95,1816.0,4.97,True,4.8,6.79,1.37,2019-12-13 00:00:00,2024-12-02 00:00:00,7,7
1181,gt1,R,R,70.27654518449977,-161.18330758602093,3,-39.0,39.0,-13.1,-13.76,0.94,7.54,44.56,1090.0,2.98,True,4.8,6.79,2.27,2021-03-11 00:00:00,2024-03-05 00:00:00,3,3
1181,gt2,L,L,70.2916219330371,-161.10365469358513,7,-82.0,129.0,-16.43,-5.67,0.03,60.32,36.81,1816.0,4.97,True,4.8,6.79,1.37,2019-12-13 00:00:00,2024-12-02 00:00:00,7,7
1181,gt2,R,R,70.29166559278836,-161.10125982673998,4,-44.0,860.0,-14.89,-36.29,0.01,509.19,1016.49,1090.0,2.98,True,4.8,6.79,2.27,2021-03-11 00:00:00,2024-03-05 00:00:00,4,4
1181,gt3,L,L,70.32292465990844,-161.02879906925028,5,-11.0,40.0,-2.14,-0.92,0.01,20.32,15.69,1816.0,4.97,True,4.8,6.79,1.37,2019-12-13 00:00:00,2024-12-02 00:00:00,5,5
1181,gt3,R,R,70.32302628958521,-161.02630706045528,4,-111.0,569.0,-26.34,10.19,0.01,308.17,428.55,1544.0,4.23,True,4.8,6.79,1.61,2019-12-13 00:00:00,2024-03-05 00:00:00,4,4
1189,gt2,L,L,70.24066575431443,-161.5131571451784,6,212.0,301.0,38.83,31.62,0.34,91.36,61.7,1998.0,5.47,True,4.8,6.79,1.24,2019-06-15 00:00:00,2024-12-03 00:00:00,6,6
1189,gt2,R,R,70.24076166812577,-161.51552182233164,8,11.0,89.0,2.04,-0.07,0.0,31.31,15.33,1998.0,5.47,True,4.8,6.79,1.24,2019-06-15 00:00:00,2024-12-03 00:00:00,8,8
1189,gt3,L,L,70.24415756509866,-161.59832336366108,6,-1.0,19.0,-0.25,-0.68,0.04,7.52,4.91,1998.0,5.47,True,4.8,6.79,1.24,2019-06-15 00:00:00,2024-12-03 00:00:00,6,6
1189,gt3,R,R,70.24423643584758,-161.6006778331788,8,6.0,15.0,1.06,0.15,0.0,5.39,2.64,1998.0,5.47,True,4.8,6.79,1.24,2019-06-15 00:00:00,2024-12-03 00:00:00,8,8
1219,gt1,L,L,70.49344463802838,-149.91244322166906,11,-16.0,34.0,-3.47,-2.41,0.16,9.94,4.11,1726.0,4.73,True,4.8,6.79,1.44,2020-03-15 00:00:00,2024-12-05 00:00:00,11,11
