track_id,bias_tolerance,gt_family,cluster_id,cluster_width_m,n_beams,reference_beam_id,reference_date,coast_slope_sign,center_lat,center_lon,elev_avg,first_date,last_date,TemporalSpan_days,ClusterTemporalSpanYears,initial_cycles,used_cycles,used_cycles_cluster,angle_mean_deg,angle_median_deg,angle_mode_deg,angle_used_mean_deg,angle_used_median_deg,max_abs_gie,mean_abs_gie,U_position_m,U_NSM_measured_m,U_EPR_measured_myr,U_NSM_corrected_m,U_EPR_corrected_myr,NSM_measured,SCE_measured,EPR_measured,LRR_measured,LR2_measured,LSE_measured,LCI_measured,ValidRegression_measured,NSM_corrected,SCE_corrected,EPR_corrected,LRR_corrected,LR2_corrected,LSE_corrected,LCI_corrected,ValidRegression_corrected,track_id_str,n_cycles_removed,flagged_dates,NSM_flagged,EPR_flagged,LRR_flagged,LR2_flagged,LSE_flagged,LCI_flagged,flag_status
53,0.5,gt2,10,56.38,6,sliderule_0053_gt2l_cyc06_20191230,2019-12-30 00:00:00,-1,70.78594346721012,-158.69303723489662,7.739330388544524,2019-12-30 00:00:00,2025-06-19 00:00:00,1998.0,5.47,16,16,6,74.72,75.23,77.5,74.727,75.23,14.778,6.196,4.8,6.79,1.24,6.79,1.24,-4.0,33.0,-0.75,-1.96,0.09,14.29,8.69,True,-11.0,31.0,-1.95,-2.78,0.22,11.79,7.17,True,0053,1,2021-06-27,-11.0,-2.01,-3.19,0.5,8.34,5.84,flagged
53,0.5,gt2,11,118.83,6,sliderule_0053_gt2r_cyc06_20191230,2019-12-30 00:00:00,-1,70.78602123774031,-158.69154341810065,7.640619679629201,2019-12-30 00:00:00,2025-06-19 00:00:00,1998.0,5.47,16,16,6,74.46,74.47,72.5,74.467,74.475,30.994,22.006,4.8,6.79,1.24,6.79,1.24,22.0,44.0,3.98,1.24,0.02,17.85,10.85,True,-7.0,28.0,-1.37,-2.13,0.16,11.13,6.77,True,0053,0,,-7.0,-1.28,-2.05,0.14,11.36,6.91,no_outlier_detected
53,0.5,gt2,12,39.24,3,sliderule_0053_gt2l_cyc03_20190401,2019-04-01 00:00:00,-1,70.7858481824038,-158.6957122829206,8.388388067512283,2019-04-01 00:00:00,2025-03-20 00:00:00,2180.0,5.97,16,16,3,75.96,75.51,77.5,75.96,75.51,7.931,3.147,4.8,6.79,1.14,6.79,1.14,-10.0,37.0,-1.65,-2.96,0.23,23.58,69.03,True,-8.0,45.0,-1.4,-3.11,0.16,30.72,89.95,True,0053,0,,-8.0,-1.4,-3.11,0.16,30.72,89.95,insufficient_data_for_flagging
53,0.5,gt2,13,67.23,3,sliderule_0053_gt2r_cyc14_20211225,2021-12-25 00:00:00,-1,70.78574184536748,-158.6976940725365,8.867319617321032,2021-12-25 00:00:00,2023-06-23 00:00:00,545.0,1.49,16,16,3,77.1,77.09,77.5,77.1,77.09,10.631,5.088,4.8,6.79,4.55,6.79,4.55,15.0,16.0,9.9,10.94,0.94,3.09,34.72,True,4.0,4.0,2.78,2.16,0.65,1.8,20.17,True,0053,0,,4.0,2.78,2.16,0.65,1.8,20.17,insufficient_data_for_flagging
53,0.5,gt3,14,166.57,4,sliderule_0053_gt3l_cyc03_20190401,2019-04-01 00:00:00,1,70.78838696319455,-158.6093653500546,7.2361828329280495,2019-04-01 00:00:00,2025-03-20 00:00:00,2180.0,5.97,12,12,4,84.63,84.65,82.5,84.625,84.65,13.147,6.275,4.8,6.79,1.14,6.79,1.14,-5.0,20.0,-0.82,-0.69,0.03,12.28,12.51,True,-5.0,8.0,-0.92,-0.89,0.38,3.41,3.47,True,0053,1,2025-03-20,-8.0,-2.68,-2.63,1.0,0.24,1.32,flagged
53,0.5,gt3,16,120.18,4,sliderule_0053_gt3r_cyc06_20191230,2019-12-30 00:00:00,1,70.78863210916549,-158.603398629343,7.253183379334232,2019-12-30 00:00:00,2025-06-19 00:00:00,1998.0,5.47,12,12,4,85.61,86.07,87.5,85.61,86.07,12.694,5.552,4.8,6.79,1.24,6.79,1.24,-33.0,35.0,-5.94,-6.4,0.97,3.52,3.43,True,-20.0,28.0,-3.62,-4.51,0.88,5.13,5.01,True,0053,0,,-20.0,-3.66,-4.51,0.89,4.92,4.81,no_outlier_detected
53,0.5,gt3,17,75.94,4,sliderule_0053_gt3l_cyc03_20190401,2019-04-01 00:00:00,1,70.788447988738,-158.60814767047228,7.208096249588965,2019-04-01 00:00:00,2025-03-20 00:00:00,2180.0,5.97,12,12,4,84.32,84.35,82.5,84.323,84.355,6.488,3.001,4.8,6.79,1.14,6.79,1.14,-5.0,39.0,-0.82,-0.52,0.0,22.39,22.8,True,-5.0,33.0,-0.92,-0.67,0.01,18.12,18.45,True,0053,0,,-6.0,-1.01,-0.75,0.01,18.28,18.62,no_outlier_detected
61,0.5,gt1,2,109.99,8,sliderule_0061_gt1l_cyc03_20190402,2019-04-02 00:00:00,1,70.78763896511605,-158.62228972522658,7.453254349268933,2019-04-02 00:00:00,2025-12-18 00:00:00,2452.0,6.71,13,13,8,73.98,73.99,72.5,73.975,73.985,29.741,13.11,4.8,6.79,1.01,6.79,1.01,-11.0,42.0,-1.57,-1.4,0.04,17.96,6.82,True,-11.0,15.0,-1.61,-0.88,0.14,5.63,2.14,True,0061,0,,-11.0,-1.64,-0.87,0.15,5.57,2.11,no_outlier_detected
61,0.5,gt1,3,110.02,9,sliderule_0061_gt1r_cyc03_20190402,2019-04-02 00:00:00,1,70.78764074042977,-158.62228610570003,7.500410506285673,2019-04-02 00:00:00,2025-12-18 00:00:00,2452.0,6.71,13,13,9,73.96,73.95,72.5,73.958,73.95,26.422,6.65,4.8,6.79,1.01,6.79,1.01,-11.0,34.0,-1.63,-0.83,0.03,11.23,4.02,True,-12.0,21.0,-1.76,-1.36,0.24,6.1,2.18,True,0061,1,2023-06-24,-12.0,-1.79,-0.95,0.24,4.4,1.67,flagged
61,0.5,gt3,8,86.96,10,sliderule_0061_gt3l_cyc03_20190402,2019-04-02 00:00:00,1,70.7890615480902,-158.79974109217807,6.54504415735448,2019-04-02 00:00:00,2025-12-18 00:00:00,2452.0,6.71,17,17,10,87.71,87.72,87.5,87.709,87.725,3.353,1.147,4.8,6.79,1.01,6.79,1.01,-13.0,21.0,-1.9,-1.86,0.33,6.58,2.19,True,-9.0,20.0,-1.4,-1.34,0.2,6.64,2.21,True,0061,3,2019-12-30;2023-06-24;2023-09-23,-9.0,-1.34,-1.96,0.8,2.77,1.14,flagged
61,0.5,gt3,9,5.59,4,sliderule_0061_gt3r_cyc03_20190402,2019-04-02 00:00:00,1,70.78915809527817,-158.80109155875294,7.191164192104127,2019-04-02 00:00:00,2022-12-24 00:00:00,1362.0,3.73,17,17,4,87.76,87.76,87.5,87.76,87.76,0.186,0.06,4.8,6.79,1.82,6.79,1.82,-7.0,9.0,-1.99,-2.08,0.69,2.77,4.22,True,-7.0,9.0,-1.94,-2.04,0.67,2.84,4.34,True,0061,0,,-8.0,-2.15,-2.21,0.72,2.73,4.17,no_outlier_detected
61,0.5,gt3,10,11.65,7,sliderule_0061_gt3r_cyc03_20190402,2019-04-02 00:00:00,1,70.78913211521024,-158.80102461835642,7.15654839926417,2019-04-02 00:00:00,2025-12-18 00:00:00,2452.0,6.71,17,17,7,87.75,87.75,87.5,87.747,87.75,0.258,0.129,4.8,6.79,1.01,6.79,1.01,-10.0,11.0,-1.47,-1.06,0.44,3.48,1.38,True,-10.0,11.0,-1.5,-1.09,0.47,3.39,1.34,True,0061,0,,-10.0,-1.49,-1.1,0.49,3.26,1.29,no_outlier_detected
61,0.5,gt3,11,67.4,9,sliderule_0061_gt3l_cyc03_20190402,2019-04-02 00:00:00,1,70.7890447924036,-158.7994605671718,6.406534443920239,2019-04-02 00:00:00,2025-12-18 00:00:00,2452.0,6.71,17,17,9,87.7,87.71,87.5,87.7,87.71,2.586,0.544,4.8,6.79,1.01,6.79,1.01,-10.0,21.0,-1.45,-1.63,0.23,7.18,2.63,True,-10.0,20.0,-1.46,-1.45,0.2,7.07,2.59,True,0061,0,,-9.0,-1.34,-1.33,0.17,7.12,2.61,no_outlier_detected
61,0.6,gt2,4,103.64,11,sliderule_0061_gt2l_cyc03_20190402,2019-04-02 00:00:00,1,70.78673030009757,-158.7116246818355,7.024459001958639,2019-04-02 00:00:00,2025-12-18 00:00:00,2452.0,6.71,15,15,11,89.71,89.68,87.5,89.707,89.68,0.633,0.185,4.8,6.79,1.01,6.79,1.01,-13.0,41.0,-1.87,-2.14,0.17,11.32,3.61,True,-13.0,41.0,-1.88,-2.17,0.17,11.42,3.64,True,0061,1,2025-03-20,-13.0,-1.94,-3.83,0.58,7.52,2.64,flagged
61,0.6,gt2,5,103.64,11,sliderule_0061_gt2r_cyc03_20190402,2019-04-02 00:00:00,1,70.78672899894245,-158.7116254114853,7.109109950325751,2019-04-02 00:00:00,2025-12-18 00:00:00,2452.0,6.71,15,15,11,89.66,89.63,87.5,89.663,89.63,0.636,0.141,4.8,6.79,1.01,6.79,1.01,-12.0,46.0,-1.75,-1.59,0.07,13.5,4.3,True,-12.0,46.0,-1.76,-1.61,0.07,13.65,4.35,True,0061,3,2024-09-20;2023-06-24;2023-09-23,-12.0,-1.79,-0.34,0.02,6.89,2.6,flagged
98,0.4,gt3,10,52.32,3,sliderule_0098_gt3l_cyc14_20211228,2021-12-28 00:00:00,-1,69.6579030693201,-141.0588393282274,3.659121817092863,2021-12-28 00:00:00,2023-06-26 00:00:00,545.0,1.49,24,23,3,48.55,48.55,47.5,48.547,48.55,45.983,23.96,4.8,6.79,4.55,6.79,4.55,-42.0,43.0,-28.21,-18.93,0.38,27.25,306.03,True,-16.0,19.0,-10.85,-12.37,0.91,4.5,50.52,True,0098,0,,-16.0,-10.85,-12.37,0.91,4.5,50.52,insufficient_data_for_flagging
98,0.6,gt2,2,153.95,9,sliderule_0098_gt2l_cyc03_20190404,2019-04-04 00:00:00,-1,69.67742399999493,-141.14769083250897,1.0904176149202969,2019-04-04 00:00:00,2025-12-20 00:00:00,2452.0,6.71,21,20,9,67.99,68.92,67.5,67.992,68.92,45.271,16.139,4.8,6.79,1.01,6.79,1.01,-93.0,93.0,-13.85,-11.5,0.5,24.67,10.24,True,-91.0,110.0,-13.52,-15.11,0.54,30.3,12.57,True,0098,2,2021-12-28;2022-03-29,-91.0,-13.56,-14.93,0.91,11.83,5.34,flagged
98,0.6,gt2,3,24.39,3,sliderule_0098_gt2r_cyc05_20191003,2019-10-03 00:00:00,-1,69.67761985558411,-141.1449100816336,1.0160147368052768,2019-10-03 00:00:00,2024-03-25 00:00:00,1635.0,4.48,21,20,3,64.53,64.68,62.5,64.527,64.68,12.976,8.075,4.8,6.79,1.52,6.79,1.52,-56.0,67.0,-12.48,-13.53,0.73,26.44,105.25,True,-45.0,54.0,-9.96,-10.82,0.72,21.49,85.56,True,0098,0,,-45.0,-9.96,-10.82,0.72,21.49,85.56,insufficient_data_for_flagging
98,0.6,gt2,4,13.06,3,sliderule_0098_gt2r_cyc11_20210331,2021-03-31 00:00:00,-1,69.67753014367302,-141.14442851175994,1.2237482626061604,2021-03-31 00:00:00,2024-03-25 00:00:00,1090.0,2.98,21,20,3,64.68,64.68,62.5,64.677,64.68,6.063,3.457,4.8,6.79,2.27,6.79,2.27,-42.0,52.0,-13.95,-12.66,0.48,28.02,167.82,True,-48.0,56.0,-15.98,-14.63,0.53,29.47,176.49,True,0098,0,,-48.0,-15.98,-14.63,0.53,29.47,176.49,insufficient_data_for_flagging
99,0.6,gt1,2,5.39,5,sliderule_0099_gt1l_cyc03_20190404,2019-04-04 00:00:00,-1,68.9156801881942,-164.59038784661783,12.035164466859593,2019-04-04 00:00:00,2025-12-20 00:00:00,2452.0,6.71,24,24,5,79.08,79.08,77.5,79.084,79.08,0.968,0.42,4.8,6.79,1.01,6.79,1.01,-13.0,17.0,-1.97,-2.02,0.62,4.52,2.92,True,-13.0,17.0,-1.99,-2.08,0.64,4.4,2.84,True,0099,1,2021-12-28,-13.0,-1.94,-1.99,0.97,1.12,0.98,flagged
99,0.6,gt1,3,96.93,14,sliderule_0099_gt1r_cyc05_20191003,2019-10-03 00:00:00,-1,68.91581885782604,-164.58884059433035,13.111212060994283,2019-10-03 00:00:00,2025-12-20 00:00:00,2270.0,6.21,24,24,14,77.26,76.88,77.5,77.256,76.875,13.913,4.115,4.8,6.79,1.09,6.79,1.09,-7.0,49.0,-1.06,-0.54,0.01,12.48,3.95,True,-7.0,36.0,-1.2,-2.14,0.21,8.19,2.59,True,0099,1,2024-06-23,-8.0,-1.29,-1.16,0.23,4.28,1.42,flagged
99,0.6,gt1,4,90.73,14,sliderule_0099_gt1r_cyc05_20191003,2019-10-03 00:00:00,-1,68.9158201473705,-164.5887085123762,13.133786799978408,2019-10-03 00:00:00,2025-12-20 00:00:00,2270.0,6.21,24,24,14,76.96,76.87,77.5,76.964,76.87,13.057,2.842,4.8,6.79,1.09,6.79,1.09,-7.0,45.0,-1.06,-2.2,0.14,10.9,3.45,True,-7.0,36.0,-1.2,-2.41,0.26,8.05,2.55,True,0099,1,2024-06-23,-8.0,-1.29,-1.49,0.33,4.28,1.42,flagged
