track_id,ClusterSize,bias_tolerance,gt_family,cluster_id,NSM,SCE,EPR,LRR,LR2,LSE,LCI,TemporalSpan_days,ValidRegression,angle_deg,center_lat,center_lon
0129,12,1.0,gt1,29,-90.66,-90.66,-19.19,-16.62,0.93,12.27,13.65,1726.0,True,78.73,70.88037265293951,-153.887394177252
0129,12,1.0,gt1,32,-90.66,-90.66,-19.19,-16.62,0.93,12.27,13.65,1726.0,True,78.98,70.88037555895686,-153.88732594923772
0129,12,1.0,gt1,15,-26.85,-26.85,-9.82,-9.77,0.99,1.54,10.13,999.0,True,78.99,70.88035821871887,-153.88773060078165
0129,12,1.0,gt1,20,-78.97,-79.73,-15.88,-16.33,1.0,3.38,10.84,1816.0,True,78.71,70.88040713737,-153.88658466982687
0129,12,1.0,gt1,3,-71.02,-71.02,-16.8,,,,,1544.0,False,87.07,70.88029006411013,-153.88933071066464
0129,12,1.0,gt1,2,-66.2,-66.2,-13.32,,,,,1816.0,False,87.3,70.88030672865311,-153.88893932982438
0129,12,1.0,gt1,10,-54.3,-54.3,,,,,,272.0,False,87.3,70.88025239200213,-153.89021501388208
0129,12,1.0,gt2,50,-249.28,-265.8,-43.59,-35.07,0.63,67.8,37.68,2089.0,True,84.17,70.88443808381204,-153.8020702414195
0129,12,1.0,gt2,59,-96.24,-96.24,-18.43,-18.61,0.98,7.51,8.48,1907.0,True,83.97,70.88454631307678,-153.7995025513347
0129,12,1.0,gt2,45,33.11,-33.11,11.09,,,,,1090.0,False,83.94,70.88445954746878,-153.80150474935945
0129,12,1.0,gt2,63,-28.95,-28.95,-10.58,,,,,999.0,False,84.16,70.88456391586973,-153.79908442349057
0129,12,1.0,gt2,41,-40.11,-40.11,-13.44,,,,,1090.0,False,83.88,70.88451015570288,-153.80035880607429
0129,12,1.0,gt2,44,,,,,,,,,False,83.88,70.88431965547778,-153.80488227065857
0129,12,1.0,gt2,60,,,,,,,,,False,83.92,70.8844210500136,-153.8024776543741
0129,12,1.0,gt2,53,1.83,-1.83,,,,,,90.0,False,84.01,70.88458354636433,-153.79861819154812
0129,12,1.0,gt3,71,-91.13,-91.13,-24.42,-23.48,0.86,18.9,28.6,1363.0,True,87.3,70.8865350143874,-153.71310645765595
0129,12,1.0,gt3,90,-83.6,-83.6,-30.57,-30.13,0.92,16.77,110.07,999.0,True,83.43,70.88663722730604,-153.71065261484023
0129,12,1.0,gt3,87,-24.53,-24.53,-16.44,,,,,545.0,False,83.47,70.88664407067049,-153.71048799750025
0129,12,1.0,gt3,86,1.16,-1.16,,,,,,90.0,False,83.71,70.88666802011412,-153.70991209301695
0129,12,1.0,gt3,70,-42.5,-42.5,-14.24,,,,,1090.0,False,87.31,70.88655458087656,-153.71263630022958
0129,12,1.0,gt3,81,118.76,-147.17,23.89,27.62,0.9,34.97,117.17,1816.0,True,87.5,70.88657863054937,-153.71205806807717
0129,12,1.0,gt3,91,163.35,-163.35,131.41,,,,,454.0,False,87.59,70.8865094400924,-153.71372335587014
0129,12,1.0,gt3,80,-34.66,-34.66,-27.88,,,,,454.0,False,88.92,70.88641098511812,-153.71608565497945
0129,18,0.25,gt1,25,-90.66,-90.66,-19.19,-17.31,0.92,9.3,6.89,1726.0,True,78.94,70.8803654829799,-153.88756255434885
0129,18,0.25,gt1,14,-95.54,-95.54,-20.22,-18.02,0.9,13.13,10.79,1726.0,True,87.88,70.88027490658638,-153.88969623784678
0129,18,0.25,gt1,29,-90.66,-90.66,-19.19,-16.53,0.91,10.39,7.42,1726.0,True,78.72,70.88037265286376,-153.88739417920073
0129,18,0.25,gt1,27,-97.73,-97.73,-18.72,-17.05,0.95,10.18,7.08,1907.0,True,78.96,70.88038288501423,-153.88715440712105
0129,18,0.25,gt1,3,-71.02,-71.02,-16.8,,,,,1544.0,False,87.06,70.88029006551535,-153.88933067658752
0129,18,0.25,gt1,17,-66.2,-67.32,-13.32,-14.0,0.99,5.75,18.87,1816.0,True,87.32,70.8803008666406,-153.88907684605906
0129,18,0.25,gt1,20,-78.97,-79.73,-15.88,-16.33,1.0,3.38,10.84,1816.0,True,78.72,70.88040713825241,-153.8865846484398
0129,18,0.25,gt1,10,-74.18,-74.18,-49.71,-49.68,0.91,16.36,196.88,545.0,True,87.29,70.88025239067373,-153.8902150439179
0129,18,0.25,gt1,26,278.31,-295.64,223.9,204.06,0.59,149.7,2148.42,454.0,True,87.4,70.88024176599662,-153.89046689619494
0129,18,0.25,gt2,51,-107.21,-107.21,-18.74,-17.71,0.96,8.67,4.82,2089.0,True,83.97,70.88443686334134,-153.8020994647072
0129,18,0.25,gt2,36,-107.21,-107.21,-18.74,-17.57,0.96,9.02,4.98,2089.0,True,83.87,70.88444589230185,-153.80188374396727
0129,18,0.25,gt2,62,-102.99,-102.99,-18.01,-17.78,0.98,6.98,4.87,2089.0,True,84.0,70.88453999845886,-153.79965269016188
0129,18,0.25,gt2,47,-66.61,-66.61,-16.74,-16.59,0.89,12.22,17.51,1453.0,True,83.86,70.88445526359563,-153.801662325528
0129,18,0.25,gt2,42,,,,,,,,,False,83.9,70.8842530308188,-153.8021702371341
